id,title,display_name,description,active,question_and_page_ids,answer_duration_avg,is_time_limited,time_limit,session_link,create_date,create_uid,survey_type
1,Encuesta de Satisfacción del Cliente,Encuesta de Satisfacción del Cliente,Esta encuesta evalúa la experiencia del cliente con nuestros productos y servicios,true,"[1,2,3,4,5]",180,false,0,https://odoo.example.com/survey/start/abc123,2024-01-15T10:30:00Z,"[1,""Admin User""]",survey
2,Evaluación de Desempeño Q1 2024,Evaluación de Desempeño Q1 2024,Evaluación trimestral del desempeño de los empleados,true,"[6,7,8,9]",300,true,3600,https://odoo.example.com/survey/start/def456,2024-02-01T09:00:00Z,"[2,""HR Manager""]",assessment
3,Sesión en Vivo - Capacitación Digital,Sesión en Vivo - Capacitación Digital,Sesión interactiva sobre herramientas digitales para el equipo,true,"[10,11,12]",120,true,1800,https://odoo.example.com/survey/start/ghi789,2024-03-10T14:00:00Z,"[3,""Training Coordinator""]",live_session
4,Feedback de Producto Beta,Feedback de Producto Beta,Recolección de opiniones sobre la versión beta del nuevo producto,true,"[13,14,15,16]",240,false,0,https://odoo.example.com/survey/start/jkl012,2024-03-15T11:20:00Z,"[1,""Admin User""]",survey
5,Quiz de Certificación de Seguridad,Quiz de Certificación de Seguridad,Evaluación obligatoria de conocimientos de seguridad informática,true,"[17,18,19,20,21]",450,true,2700,https://odoo.example.com/survey/start/mno345,2024-04-01T08:00:00Z,"[4,""Security Officer""]",assessment
6,Encuesta de Clima Organizacional,Encuesta de Clima Organizacional,Evaluación del ambiente laboral y satisfacción de los empleados,true,"[22,23,24,25,26,27]",420,false,0,https://odoo.example.com/survey/start/pqr678,2024-04-20T10:00:00Z,"[2,""HR Manager""]",survey
7,Workshop Interactivo - Innovación,Workshop Interactivo - Innovación,Taller en vivo sobre técnicas de innovación y creatividad,true,"[28,29,30]",150,true,2400,https://odoo.example.com/survey/start/stu901,2024-05-05T15:30:00Z,"[5,""Innovation Lead""]",live_session
8,Formulario de Registro de Eventos,Formulario de Registro de Eventos,Formulario personalizado para inscripción a eventos corporativos,true,"[31,32,33,34]",90,false,0,https://odoo.example.com/survey/start/vwx234,2024-05-12T09:45:00Z,"[6,""Events Manager""]",custom
9,Evaluación de Proveedores,Evaluación de Proveedores,Sistema de calificación y feedback para proveedores externos,true,"[35,36,37]",200,false,0,https://odoo.example.com/survey/start/yza567,2024-06-01T12:00:00Z,"[7,""Procurement Lead""]",survey
10,Test de Onboarding Nuevos Empleados,Test de Onboarding Nuevos Empleados,Evaluación de conocimientos básicos para nuevos integrantes,true,"[38,39,40,41]",360,true,3000,https://odoo.example.com/survey/start/bcd890,2024-06-15T08:30:00Z,"[2,""HR Manager""]",assessment
11,Encuesta Inactiva de Prueba,Encuesta Inactiva de Prueba,Esta encuesta está desactivada para fines de demostración,false,"[42,43]",0,false,0,https://odoo.example.com/survey/start/efg123,2024-07-01T10:00:00Z,"[1,""Admin User""]",survey
12,Sondeo Rápido - Preferencias de Almuerzo,Sondeo Rápido - Preferencias de Almuerzo,Encuesta corta para conocer preferencias alimenticias del equipo,true,"[44,45]",60,false,0,https://odoo.example.com/survey/start/hij456,2024-07-10T13:00:00Z,"[8,""Office Manager""]",custom
